"Pipeline Name","Application Artifact","Application Name"
"cdh-fileprocessor-card-az-cd","winsvc_Lh1.FileProcessor.Service","Lh1.FileProcessor.Service"
"cdh-fraudsecurity-az-cd","web_Lighthouse1.security.fraud.api","Lighthouse1.security.fraud.api"
"cdh-hcbtestsvc-az-cd","web_HealthcareBankAuthTestWebService","HealthcareBankAuthTestWebService"
"cdh-healthplanning-az-cd","web_wexhealth.apps.web.healthplanning.portal","wexhealth.apps.web.healthplanning.portal"
"cdh-messagecollector-az-cd","web_Lighthouse1.Apps.Web.ApplicationMessageCollector","Lighthouse1.Apps.Web.ApplicationMessageCollector"
"cdh-mobile-authorization-mws-az-cd","web_Evolution1.Authorization.Services","Evolution1.Authorization.Services"
"cdh-mobile-authorization-services-az-cd","web_Evolution1.Authorization.Services","Evolution1.Authorization.Services"
"cdh-mobile-canary-authorization-mws-az-cd","web_Evolution1.Authorization.Services","Evolution1.Authorization.Services"
"cdh-mobile-canary-consumersvc-mws-az-cd","web_Evolution1.ConsumerService","Evolution1.ConsumerService"
"cdh-mobile-canary-idpsvc-mws-az-cd","web_Evolution1.IdentityProvider.Services","Evolution1.IdentityProvider.Services"
"cdh-mobile-canary-mpi-mws-az-cd","web_Evolution1.Consumer.MobileProductInstanceService","Evolution1.Consumer.MobileProductInstanceService"
"cdh-mobile-consumersvc-mws-az-cd","web_Evolution1.ConsumerService","Evolution1.ConsumerService"
"cdh-mobile-consumersvc-services-az-cd","web_Evolution1.ConsumerService","Evolution1.ConsumerService"
"cdh-mobile-identityweb-az-cd","web_Evolution1.IdentityProvider.Web","Evolution1.IdentityProvider.Web"
"cdh-mobile-idpsvc-mws-az-cd","web_Evolution1.IdentityProvider.Services","Evolution1.IdentityProvider.Services"
"cdh-mobile-idpsvc-services-az-cd","web_Evolution1.IdentityProvider.Services","Evolution1.IdentityProvider.Services"
"cdh-mobile-mpi-mws-az-cd","web_Evolution1.Consumer.MobileProductInstanceService","Evolution1.Consumer.MobileProductInstanceService"
"cdh-mobile-mpi-services-az-cd","web_Evolution1.Consumer.MobileProductInstanceService","Evolution1.Consumer.MobileProductInstanceService"
"cdh-mockservice-az-cd","web_lighthouse1.Provider.external.api","lighthouse1.Provider.external.api"
"cdh-nbcapi-az-cd","web_NbcWebApi","NbcWebApi"
"cdh-nbcportal-az-cd","web_NbcOperationsPortal","NbcOperationsPortal"
"cdh-newemployersetup-az-cd","web_WexHealth.CDH.NewEmployerSetup.Portal","WexHealth.CDH.NewEmployerSetup.Portal"
"cdh-oddbutility-az-cd","web_LH1OnDemand.MaintenanceTool","LH1OnDemand.MaintenanceTool"
"cdh-ondemand-utility-service-az-cd","web_LH1OnDemand.WebService.Utility","LH1OnDemand.WebService.Utility"
"cdh-platformhealthintegrationservice-az-cd","lighthouse1.apps.web.platformhealthintegrationservice","lighthouse1.apps.web.platformhealthintegrationservice"
"cdh-queuelistener-az-cd","winsvc_Lighthouse1.Apps.Service.QueueListenerService","Lighthouse1.Apps.Service.QueueListenerService"
"cdh-schwabintegrator-az-cd","winsvc_SchwabIntegrator.Service","SchwabIntegrator.Service"
"cdh-securereportservice-az-cd","web_Lighthouse1.Reporting.SecureReportService","Lighthouse1.Reporting.SecureReportService"
"cdh-services-az-cd","web_lh1ondemand.webservice.services","lh1ondemand.webservice.services"
"cdh-services-internal-az-cd","web_lh1ondemand.webservice.services","lh1ondemand.webservice.services"
